r_lat,r_lng,neighborhood,locality,county
41.858,-87.641,East Pilsen,Chicago,Cook County
41.858,-87.662,Lower West Side,Chicago,Cook County
41.949,-87.647,Lake View East,Chicago,Cook County
41.956,-87.669,Lake View,Chicago,Cook County
41.94,-87.646,Lake View East,Chicago,Cook County
41.962,-87.671,Ravenswood,Chicago,Cook County
41.973,-87.655,Uptown,Chicago,Cook County
41.9,-87.66,West Town,Chicago,Cook County
41.838,-87.635,Armour Square,Chicago,Cook County
41.947,-87.683,North Center,Chicago,Cook County
41.855,-87.664,Lower West Side,Chicago,Cook County
41.908,-87.672,West Town,Chicago,Cook County
42.016,-87.669,Rogers Park,Chicago,Cook County
41.79,-87.59,Hyde Park,Chicago,Cook County
41.908,-87.639,Near North Side,Chicago,Cook County
41.809,-87.592,Kenwood,Chicago,Cook County
41.881,-87.675,Near West Side,Chicago,Cook County
41.838,-87.651,Bridgeport,Chicago,Cook County
41.969,-87.696,Lincoln Square,Chicago,Cook County
41.966,-87.694,Ravenswood Gardens,Chicago,Cook County
42.058,-87.677,NA,Evanston,Cook County
41.857,-87.634,Armour Square,Chicago,Cook County
41.962,-87.691,Lincoln Square,Chicago,Cook County
41.896,-87.682,West Town,Chicago,Cook County
42.05,-87.678,NA,Evanston,Cook County
41.94,-87.7,Avondale,Chicago,Cook County
41.952,-87.698,Irving Park,Chicago,Cook County
41.969,-87.684,Lincoln Square,Chicago,Cook County
41.886,-87.617,Chicago Loop,Chicago,Cook County
41.918,-87.697,Logan Square,Chicago,Cook County
41.91,-87.682,West Town,Chicago,Cook County
42.033,-87.679,NA,Evanston,Cook County
41.939,-87.712,Avondale,Chicago,Cook County
41.99,-87.67,Magnolia Glen,Chicago,Cook County
41.835,-87.632,Armour Square,Chicago,Cook County
41.903,-87.709,Humboldt Park,Chicago,Cook County
41.925,-87.714,Logan Square,Chicago,Cook County
42.005,-87.661,Rogers Park,Chicago,Cook County
41.939,-87.671,Lake View,Chicago,Cook County
41.96,-87.68,North Center,Chicago,Cook County
41.975,-87.693,Lincoln Square,Chicago,Cook County
41.882,-87.639,West Loop,Chicago,Cook County
41.886,-87.677,Near West Side,Chicago,Cook County
41.97,-87.7,Lincoln Square,Chicago,Cook County
41.93,-87.79,Belmont Cragin,Chicago,Cook County
42.008,-87.666,Rogers Park,Chicago,Cook County
